threshold,precision,recall,f1_score,accuracy,false_positives,false_negatives
0.12,0.0,0.0,0.0,0.7875925925925926,0,1147
0.1226530612244898,0.0,0.0,0.0,0.7875925925925926,0,1147
0.1253061224489796,0.0,0.0,0.0,0.7875925925925926,0,1147
0.1279591836734694,0.0,0.0,0.0,0.7875925925925926,0,1147
0.13061224489795917,0.0,0.0,0.0,0.7875925925925926,0,1147
0.13326530612244897,0.0,0.0,0.0,0.7875925925925926,0,1147
0.13591836734693877,0.0,0.0,0.0,0.7875925925925926,0,1147
0.13857142857142857,0.0,0.0,0.0,0.7875925925925926,0,1147
0.14122448979591837,0.0,0.0,0.0,0.7875925925925926,0,1147
0.14387755102040817,0.0,0.0,0.0,0.7875925925925926,0,1147
0.14653061224489797,0.0,0.0,0.0,0.7875925925925926,0,1147
0.14918367346938777,1.0,0.06015693112467306,0.11348684210526316,0.8003703703703704,0,1078
0.15183673469387754,1.0,0.3897122929380994,0.560853199498118,0.8703703703703703,0,700
0.15448979591836734,1.0,0.3897122929380994,0.560853199498118,0.8703703703703703,0,700
0.15714285714285714,1.0,0.3897122929380994,0.560853199498118,0.8703703703703703,0,700
0.15979591836734694,1.0,0.3897122929380994,0.560853199498118,0.8703703703703703,0,700
0.16244897959183674,1.0,0.3897122929380994,0.560853199498118,0.8703703703703703,0,700
0.1651020408163265,1.0,0.3897122929380994,0.560853199498118,0.8703703703703703,0,700
0.16775510204081634,1.0,0.3897122929380994,0.560853199498118,0.8703703703703703,0,700
0.1704081632653061,1.0,0.3897122929380994,0.560853199498118,0.8703703703703703,0,700
0.1730612244897959,1.0,0.4027898866608544,0.5742697327532629,0.8731481481481481,0,685
0.1757142857142857,1.0,0.4245858761987794,0.5960832313341493,0.8777777777777778,0,660
0.1783673469387755,1.0,0.4245858761987794,0.5960832313341493,0.8777777777777778,0,660
0.1810204081632653,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.18367346938775508,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.1863265306122449,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.18897959183673468,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.19163265306122448,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.19428571428571428,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.19693877551020408,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.19959183673469388,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.20224489795918366,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.20489795918367348,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.20755102040816326,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.21020408163265306,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.21285714285714286,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.21551020408163266,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.21816326530612246,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.22081632653061223,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.22346938775510206,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.22612244897959183,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.22877551020408163,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.23142857142857143,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.23408163265306123,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.23673469387755103,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.2393877551020408,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.24204081632653063,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.2446938775510204,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.2473469387755102,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
0.25,0.9031862745098039,0.6425457715780296,0.7508914926133469,0.9094444444444445,79,410
